Saison,Parcelle,Espèce,Age,Pénalité,Dates plantation,Plants,Plants Productifs,Taux de Productivité (%),Poids produit (g),Nombre de truffe,Poids moyen (g),Production au plant (g),Plants Non-Productifs à Nouveau,Expected_Production,State_Space_Forecast,Total_Expected_Production,Total_State_Space_Forecast
2025 - 2026,K,Chêne pubescent,6,,11/01/2019,931,1,0.11,38,1,38,0,0,18.81103507739222,1.881103507739222,10000.0,1751.3073657052157
2025 - 2026,K,Chêne vert,2,-1: planted outside November -> March,10/10/2021,18,0,0.0,0,0,0,0,0,0.03896631513742556,0.003896631513742556,0.70139367247366,0.07013936724736601
2025 - 2026,K,Chêne vert,3,-1: planted outside November -> March,13/05/2020,5,0,0.0,0,0,0,0,0,0.496401939767995,0.0496401939767995,2.482009698839975,0.2482009698839975
2025 - 2026,K,Chêne vert,5,,24/01/2020,22,0,0.0,0,0,0,0,0,8.679539609948383,0.8679539609948383,190.94987141886443,19.094987141886442
2025 - 2026,K,Chêne vert,6,,11/01/2019,536,0,0.0,0,0,0,0,0,18.81103507739222,1.881103507739222,10000.0,1008.271480148223
2025 - 2026,L,Chêne vert,2,-1: planted outside November -> March,10/10/2021,43,0,0.0,0,0,0,0,0,0.03896631513742556,0.008285841789590128,1.675551550909299,0.3562911969523755
2025 - 2026,L,Chêne vert,5,,27/11/2019,10,0,0.0,0,0,0,0,0,8.679539609948383,1.8456272234332851,86.79539609948384,18.45627223433285
2025 - 2026,L,Chêne vert,6,,29/11/2018,1551,4,0.26,509,4,127,0,0,18.81103507739222,4.0,10000.0,6204.0
2025 - 2026,LP,Bouleau blanc,4,,31/03/2021,66,0,0.0,0,0,0,0,0,2.7472089688578927,1.0,181.3157919446209,66.0
2025 - 2026,LP,Charme commun,4,,31/03/2021,90,0,0.0,0,0,0,0,0,2.7472089688578927,2.0,247.24880719721034,180.0
2025 - 2026,LP,Chêne chevelu,4,,31/03/2021,50,0,0.0,0,0,0,0,0,2.7472089688578927,0.27472089688578927,137.36044844289464,13.736044844289463
2025 - 2026,LP,Chêne pubescent,4,,31/03/2021,60,0,0.0,0,0,0,0,0,2.7472089688578927,0.27472089688578927,164.83253813147357,16.483253813147357
2025 - 2026,LP,Chêne pédonculé,4,,31/03/2021,60,0,0.0,0,0,0,0,0,2.7472089688578927,0.27472089688578927,164.83253813147357,16.483253813147357
2025 - 2026,LP,Chêne vert,4,,31/03/2021,76,0,0.0,0,0,0,0,0,2.7472089688578927,2.0,208.78788163319985,152.0
2025 - 2026,LP,Noisetier de Byzance/Collurna,4,,31/03/2021,16,0,0.0,0,0,0,0,0,2.7472089688578927,0.27472089688578927,43.95534350172628,4.395534350172628
2025 - 2026,LP,Pin d'Alep,4,,31/03/2021,40,0,0.0,0,0,0,0,0,2.7472089688578927,5.494417937715785,109.8883587543157,219.7767175086314
2025 - 2026,LP,Saule blanc,4,,31/03/2021,16,0,0.0,0,0,0,0,0,2.7472089688578927,0.27472089688578927,43.95534350172628,4.395534350172628
2025 - 2026,LP,Tilleul à petites feuilles,4,,31/03/2021,90,0,0.0,0,0,0,0,0,2.7472089688578927,0.27472089688578927,247.24880719721034,24.724880719721035
2025 - 2026,A1,Chêne pubescent,2,,01/03/2024,69,1,1.45,157,4,39,2,0,0.03896631513742556,0.003896631513742556,2.6886757444823637,0.2688675744482364
2025 - 2026,A1,Chêne pubescent,4,-1: planted outside October -> March,12/05/2020,165,1,0.61,44,1,44,0,0,2.7472089688578927,0.27472089688578927,453.2894798615523,45.32894798615523
2025 - 2026,A1,Chêne pubescent,4,,10/10/2021,53,0,0.0,0,0,0,0,0,2.7472089688578927,0.27472089688578927,145.60207534946832,14.560207534946832
2025 - 2026,A1,Chêne pubescent,7,,12/03/2019,511,7,1.37,303,9,33,0,0,31.642460511555242,3.1642460511555246,10000.0,1616.929732140473
2025 - 2026,A2,Chêne pubescent,2,,01/03/2024,25,1,4.0,31,1,31,1,0,0.03896631513742556,0.07793263027485112,0.974157878435639,1.948315756871278
2025 - 2026,A2,Chêne pubescent,4,-1: planted outside October -> March,05/05/2020,401,10,2.49,828,22,37,2,0,2.7472089688578927,5.494417937715785,1101.630796512015,2203.26159302403
2025 - 2026,A2,Chêne pubescent,4,,10/10/2021,4,0,0.0,0,0,0,0,0,2.7472089688578927,5.494417937715785,10.98883587543157,21.97767175086314
2025 - 2026,A2,Chêne vert,2,,01/03/2024,18,0,0.0,0,0,0,0,0,0.03896631513742556,0.07793263027485112,0.70139367247366,1.40278734494732
2025 - 2026,A2,Chêne vert,3,-1: planted outside November -> March,10/10/2021,7,0,0.0,0,0,0,0,0,0.496401939767995,0.99280387953599,3.474813578375965,6.94962715675193
2025 - 2026,A2,Chêne vert,4,-1: planted outside November -> March,05/05/2020,472,46,9.75,2942,78,37,6,1,2.7472089688578927,5.494417937715785,1296.6826333009253,2593.3652666018506
2025 - 2026,B1,Chêne pubescent,2,,01/03/2024,220,3,1.36,128,4,32,0,0,0.03896631513742556,0.010357302236987661,8.572589330233622,2.2786064921372855
2025 - 2026,B1,Chêne pubescent,4,-1: planted outside October -> March,04/05/2020,189,3,1.59,169,5,33,0,0,2.7472089688578927,0.7302120690210151,519.2224951141417,138.01008104497186
2025 - 2026,B1,Chêne pubescent,4,,10/10/2021,95,0,0.0,0,0,0,0,0,2.7472089688578927,0.7302120690210151,260.9848520414998,69.37014655699643
2025 - 2026,B1,Chêne pubescent,7,,20/02/2019,1195,112,9.37,6396,190,33,5,1,31.642460511555242,8.410611213410657,10000.0,10000.0
2025 - 2026,B2,Chêne pubescent,2,,01/03/2024,76,1,1.32,57,2,28,0,0,0.03896631513742556,0.006214381342192596,2.9614399504443423,0.4722929820066373
2025 - 2026,B2,Chêne pubescent,4,-1: planted outside October -> March,05/05/2020,108,1,0.93,17,1,17,0,0,2.7472089688578927,0.43812724141260906,296.6985686366524,47.31774207256178
2025 - 2026,B2,Chêne pubescent,4,,10/10/2021,52,0,0.0,0,0,0,0,0,2.7472089688578927,0.43812724141260906,142.85486638061042,22.78261655345567
2025 - 2026,B2,Chêne pubescent,7,,06/03/2019,927,78,8.41,3556,110,32,3,4,31.642460511555242,5.046366728046395,10000.0,4677.981956899008
2025 - 2026,C,Chêne pubescent,2,,01/03/2024,53,0,0.0,0,0,0,0,0,0.03896631513742556,0.003896631513742556,2.0652147022835545,0.20652147022835549
2025 - 2026,C,Chêne pubescent,4,,10/10/2021,83,0,0.0,0,0,0,0,0,2.7472089688578927,0.27472089688578927,228.0183444152051,22.80183444152051
2025 - 2026,C,Chêne pubescent,6,,24/01/2020,1839,41,2.23,1498,56,26,0,0,18.81103507739222,1.881103507739222,10000.0,3459.3493507324292
2025 - 2026,D1,Chêne pubescent,2,,01/03/2024,75,0,0.0,0,0,0,0,0,0.03896631513742556,0.003896631513742556,2.922473635306917,0.2922473635306917
2025 - 2026,D1,Chêne pubescent,3,,13/02/2023,69,0,0.0,0,0,0,0,0,0.496401939767995,0.0496401939767995,34.25173384399166,3.4251733843991654
2025 - 2026,D1,Chêne pubescent,4,,10/10/2021,72,0,0.0,0,0,0,0,0,2.7472089688578927,0.27472089688578927,197.79904575776828,19.779904575776825
2025 - 2026,D1,Chêne pubescent,6,,02/03/2020,1261,6,0.48,244,6,40,0,1,18.81103507739222,1.881103507739222,10000.0,2372.0715232591588
2025 - 2026,D2,Chêne pubescent,2,,01/03/2024,51,0,0.0,0,0,0,0,0,0.03896631513742556,0.003896631513742556,1.9872820720087034,0.19872820720087037
2025 - 2026,D2,Chêne pubescent,3,,13/02/2023,57,0,0.0,0,0,0,0,0,0.496401939767995,0.0496401939767995,28.294910566775716,2.8294910566775715
2025 - 2026,D2,Chêne pubescent,4,,10/10/2021,46,0,0.0,0,0,0,0,0,2.7472089688578927,0.27472089688578927,126.37161256746306,12.637161256746307
2025 - 2026,D2,Chêne pubescent,6,,21/01/2020,1833,13,0.71,456,18,25,0,1,18.81103507739222,1.881103507739222,10000.0,3448.062729685994
2025 - 2026,E1,Chêne pubescent,2,,01/03/2024,35,0,0.0,0,0,0,0,0,0.03896631513742556,0.039248753898541745,1.3638210298098945,1.3737063864489611
2025 - 2026,E1,Chêne pubescent,4,-1: planted outside October -> March,21/04/2020,2602,84,3.23,4348,121,35,1,2,2.7472089688578927,2.767121508572131,7148.237736968237,7200.050165304685
2025 - 2026,E1,Chêne pubescent,4,,10/10/2021,94,0,0.0,0,0,0,0,0,2.7472089688578927,2.767121508572131,258.2376430726419,260.1094218057803
