,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[10],0.002,0.006,-0.0,0.006,0.0,0.001,67.0,488.0,1.05
mu[11],0.002,0.006,-0.0,0.006,0.0,0.001,67.0,488.0,1.05
mu[12],1.509,0.856,0.058,3.113,0.034,0.033,476.0,663.0,1.02
mu[13],0.002,0.009,-0.0,0.009,0.0,0.002,178.0,480.0,1.04
mu[14],0.35,0.347,0.005,0.992,0.017,0.02,328.0,807.0,1.02
mu[15],0.0,0.002,-0.0,0.0,0.0,0.001,139.0,383.0,1.03
mu[16],0.003,0.017,-0.0,0.009,0.001,0.005,157.0,382.0,1.03
mu[17],0.357,0.383,0.011,1.054,0.024,0.024,291.0,472.0,1.03
mu[18],0.0,0.001,-0.0,0.0,0.0,0.0,50.0,415.0,1.04
mu[19],0.003,0.01,-0.0,0.011,0.0,0.002,61.0,454.0,1.03
mu[20],0.365,0.349,-0.002,0.984,0.019,0.015,325.0,851.0,1.03
mu[21],0.005,0.03,-0.0,0.015,0.001,0.006,76.0,346.0,1.04
mu[22],0.005,0.03,-0.0,0.015,0.001,0.006,76.0,346.0,1.04
mu[23],0.0,0.0,-0.0,0.0,0.0,0.0,78.0,391.0,1.04
mu[24],0.392,0.387,-0.015,1.134,0.019,0.02,383.0,711.0,1.03
mu[25],0.003,0.009,-0.0,0.011,0.0,0.001,115.0,414.0,1.03
mu[26],0.392,0.387,-0.015,1.134,0.019,0.02,383.0,711.0,1.03
mu[27],0.002,0.012,-0.0,0.01,0.001,0.004,131.0,239.0,1.05
mu[28],0.35,0.327,0.004,1.023,0.026,0.038,233.0,166.0,1.04
mu[29],0.35,0.327,0.004,1.023,0.026,0.038,233.0,166.0,1.04
mu[30],0.0,0.0,-0.0,0.0,0.0,0.0,66.0,443.0,1.04
mu[31],0.334,0.326,-0.022,0.96,0.028,0.017,138.0,943.0,1.02
mu[32],0.334,0.326,-0.022,0.96,0.028,0.017,138.0,943.0,1.02
mu[33],0.001,0.005,-0.0,0.006,0.0,0.001,229.0,551.0,1.05
mu[34],0.295,0.256,0.006,0.793,0.012,0.011,437.0,858.0,1.05
mu[35],0.295,0.256,0.006,0.793,0.012,0.011,437.0,858.0,1.05
mu[36],0.0,0.0,-0.0,0.0,0.0,0.0,172.0,449.0,1.05
mu[37],0.03,0.046,0.0,0.105,0.002,0.003,293.0,750.0,1.05
mu[38],0.295,0.256,0.006,0.793,0.012,0.011,437.0,858.0,1.05
mu[39],0.75,0.593,0.023,1.851,0.085,0.019,28.0,114.0,1.05
mu[40],0.009,0.025,0.0,0.034,0.001,0.006,20.0,86.0,1.08
mu[41],0.75,0.593,0.023,1.851,0.085,0.019,28.0,114.0,1.05
mu[42],0.75,0.593,0.023,1.851,0.085,0.019,28.0,114.0,1.05
mu[43],0.009,0.025,0.0,0.034,0.001,0.006,20.0,86.0,1.08
mu[44],0.75,0.593,0.023,1.851,0.085,0.019,28.0,114.0,1.05
mu[45],0.75,0.593,0.023,1.851,0.085,0.019,28.0,114.0,1.05
mu[46],0.0,0.004,-0.0,0.001,0.0,0.002,18.0,87.0,1.08
mu[47],0.75,0.593,0.023,1.851,0.085,0.019,28.0,114.0,1.05
mu[48],0.001,0.004,-0.0,0.004,0.0,0.001,206.0,552.0,1.04
mu[49],0.23,0.183,0.002,0.583,0.008,0.01,391.0,863.0,1.03
mu[50],0.23,0.183,0.002,0.583,0.008,0.01,391.0,863.0,1.03
mu[51],0.001,0.004,-0.0,0.004,0.0,0.001,206.0,552.0,1.04
mu[52],0.23,0.183,0.002,0.583,0.008,0.01,391.0,863.0,1.03
mu[53],0.23,0.183,0.002,0.583,0.008,0.01,391.0,863.0,1.03
mu[54],0.0,0.0,-0.0,0.0,0.0,0.0,163.0,505.0,1.04
mu[55],0.23,0.183,0.002,0.583,0.008,0.01,391.0,863.0,1.03
mu[56],1.272,0.683,0.178,2.588,0.033,0.025,380.0,636.0,1.01
mu[57],0.0,0.0,-0.0,0.0,0.0,0.0,213.0,391.0,1.06
mu[58],0.001,0.004,-0.0,0.002,0.0,0.001,236.0,515.0,1.04
mu[59],0.165,0.139,-0.01,0.433,0.006,0.008,326.0,712.0,1.02
mu[60],0.982,0.541,0.074,1.99,0.028,0.019,275.0,642.0,1.01
mu[61],0.001,0.004,-0.0,0.002,0.0,0.001,236.0,515.0,1.04
mu[62],0.001,0.004,-0.0,0.002,0.0,0.001,236.0,515.0,1.04
mu[63],0.165,0.139,-0.01,0.433,0.006,0.008,326.0,712.0,1.02
mu[64],0.982,0.541,0.074,1.99,0.028,0.019,275.0,642.0,1.01
mu[65],0.0,0.0,-0.0,0.0,0.0,0.0,213.0,391.0,1.06
mu[66],0.001,0.004,-0.0,0.002,0.0,0.001,236.0,515.0,1.04
mu[67],0.165,0.139,-0.01,0.433,0.006,0.008,326.0,712.0,1.02
mu[68],0.982,0.541,0.074,1.99,0.028,0.019,275.0,642.0,1.01
mu[69],0.0,0.0,-0.0,0.0,0.0,0.0,85.0,441.0,1.04
mu[70],0.291,0.233,0.014,0.762,0.015,0.012,266.0,835.0,1.04
mu[71],1.503,0.797,0.216,3.072,0.038,0.031,419.0,775.0,1.01
mu[72],0.744,0.784,-0.001,2.125,0.181,0.014,15.0,95.0,1.1
mu[73],0.744,0.784,-0.001,2.125,0.181,0.014,15.0,95.0,1.1
mu[74],0.744,0.784,-0.001,2.125,0.181,0.014,15.0,95.0,1.1
