Plants;Age;Age Brut;Dates de plantation;Plants Productifs;Taux de Productivité (%);Poids produit (g);Nombre de truffe;Poids moyen (g);Production au plant (g);Season;Plant_Productivity;Prod_per_Plant;Age_Squared;Is_Recent_Season;Original_Parcelle;Original_Espèce;Species_Bouleau blanc;Species_Charme;Species_Charme commun;Species_Chêne chevelu;Species_Chêne pubescent;Species_Chêne pédonculé;Species_Chêne vert;Species_Noisetier collurna;Species_Noisetier de Byzance/Collurna;Species_Pin d'Alep;Species_Saule;Species_Saule blanc;Species_Tilleul;Species_Tilleul à petites feuilles;Parcelle_A1;Parcelle_A2;Parcelle_B1;Parcelle_B2;Parcelle_C;Parcelle_D1;Parcelle_D2;Parcelle_E1;Parcelle_E2;Parcelle_F;Parcelle_G;Parcelle_H;Parcelle_I;Parcelle_J;Parcelle_K;Parcelle_L;Parcelle_LP;Predicted_Prod_per_Plant;Predicted_Total_Production
66;4;3;31/03/2021;0;0.0;0;0;0.0;0.0;2025-2026;0.0;0.0;16;1;LP;Bouleau blanc;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;0.0;0.0
90;4;3;31/03/2021;0;0.0;0;0;0.0;0.0;2025-2026;0.0;0.0;16;1;LP;Charme commun;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;0.0;0.0
50;4;3;31/03/2021;0;0.0;0;0;0.0;0.0;2025-2026;0.0;0.0;16;1;LP;Chêne chevelu;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;0.0;0.0
60;4;3;31/03/2021;0;0.0;0;0;0.0;0.0;2025-2026;0.0;0.0;16;1;LP;Chêne pubescent;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;0.0;0.0
60;4;3;31/03/2021;0;0.0;0;0;0.0;0.0;2025-2026;0.0;0.0;16;1;LP;Chêne pédonculé;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;0.0;0.0
76;4;3;31/03/2021;0;0.0;0;0;0.0;0.0;2025-2026;0.0;0.0;16;1;LP;Chêne vert;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;0.0;0.0
16;4;3;31/03/2021;0;0.0;0;0;0.0;0.0;2025-2026;0.0;0.0;16;1;LP;Noisetier de Byzance/Collurna;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;0.0;0.0
40;4;3;31/03/2021;0;0.0;0;0;0.0;0.0;2025-2026;0.0;0.0;16;1;LP;Pin d'Alep;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;1.2961083037284435;51.84433214913774
16;4;3;31/03/2021;0;0.0;0;0;0.0;0.0;2025-2026;0.0;0.0;16;1;LP;Saule blanc;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;0.0;0.0
90;4;3;31/03/2021;0;0.0;0;0;0.0;0.0;2025-2026;0.0;0.0;16;1;LP;Tilleul à petites feuilles;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;0.0;0.0
